,All (Mean),All (Std),Female (Mean),Female (Std),Male (Mean),Male (Std)
economy_Cameroon,0.03849228050986496,0.19238550330499907,0.039890981169474725,0.19571114997470385,0.03704021263825774,0.18886845630404414
economy_Chad,0.036010264608135965,0.18631957987105352,0.02411628675256029,0.1534165419930303,0.048358055388836495,0.2145308835097206
"economy_Congo, Rep.",0.034201337764502966,0.18174981676437038,0.03229269904195573,0.17678365810242566,0.03618280030866844,0.18675276606465835
economy_Cote d'Ivoire,0.03815573598081696,0.1915761460890337,0.02312520647505781,0.15030734246500552,0.05375975306524908,0.22555266350773465
economy_Ethiopia,0.03638887720331496,0.18725971800281488,0.04179055170135448,0.20011848741753807,0.030781102632255853,0.17273153893899607
economy_Gabon,0.03584199234361196,0.185899967052911,0.03270564915758176,0.17787243379366052,0.03909800222927206,0.19383645160143922
economy_Guinea,0.032055866391821966,0.17615218754427578,0.02956722827882392,0.1693970992744116,0.0346394581154077,0.18287272473597835
economy_Kenya,0.04114256867611796,0.1986240603952599,0.04228609184010571,0.20124940566926028,0.039955414558861355,0.19586288222761025
economy_Lesotho,0.03710403432754196,0.1890207078784554,0.04220350181698051,0.2010614458599363,0.03180999742776301,0.1755014597852263
economy_Madagascar,0.04114256867611796,0.19862406039525637,0.048893293690122235,0.21565384416189073,0.03309611592214696,0.17889524044303518
economy_Malawi,0.03895502923730596,0.19349188594199287,0.051040634291377604,0.22008972843135216,0.026408299751350426,0.16035306710199
economy_Mali,0.03701989819527996,0.1888145256551155,0.03369672943508424,0.1804548401063351,0.040469861956614936,0.19706694807441694
economy_Mauritania,0.02999453115140297,0.17057574056226438,0.022794846382556987,0.1492550877712853,0.037468918803052385,0.18991601156674184
economy_Mozambique,0.036977830129148966,0.188711335999477,0.03369672943508424,0.1804548401063308,0.040384120723656006,0.19686687520465287
economy_Namibia,0.04038534348575996,0.19686543096032671,0.053187974892632967,0.22441740956333636,0.027094229615021864,0.16236499832366857
economy_Niger,0.036220604938790965,0.18684255756867138,0.0306408985794516,0.17234989761525715,0.04201320414987567,0.20062787952855682
economy_Rwanda,0.03967018636153296,0.19518725723650338,0.04641559299636604,0.21039211381954184,0.03266740975735231,0.17777221316569544
economy_Senegal,0.03554751588069496,0.18516298850749294,0.03295341922695738,0.17852205337842644,0.03824058989968276,0.19178477746281852
economy_South Africa,0.03849228050986496,0.19238550330502371,0.036422200198216056,0.18734599627082357,0.040641344422532796,0.19746637397614783
economy_South Sudan,0.03218207059021497,0.17648709654262862,0.03254046911133135,0.17743784055578937,0.03180999742776301,0.17550145978524012
economy_Togo,0.035589583946825966,0.18526847930190668,0.027502477700693757,0.16354907692733298,0.04398525250793106,0.20507109948726862
economy_Uganda,0.03828194017920996,0.1918801242876105,0.042451271886356126,0.20162469812516562,0.03395352825173626,0.18111736190499503
economy_Zambia,0.03916536956796096,0.1939923363002107,0.044928972580112324,0.207156714260853,0.03318185715510589,0.17911887783228836
economy_Zimbabwe,0.04004879895671196,0.19607781625967238,0.048149983481995375,0.21409191510923295,0.03163851496184515,0.17504327024135813
